original_index,username,iteration,phase,time,gaze_x,gaze_y,speed,matrix_x,matrix_y,density,row_label
10,0903-1-my,12.0,word,1693711373.9808762,324.0,50.00000000000001,149.05368160498418,12.0,0.0,0,1
11,0903-1-my,12.0,word,1693711373.9971304,417.0,90.00000000000004,101.23734488813898,12.0,0.0,0,1
12,0903-1-my,12.0,word,1693711374.0295734,469.0,115.0,57.697486947006624,12.0,0.0,24,3
13,0903-1-my,12.0,word,1693711374.060836,470.99999999999983,111.99999999999994,3.605551275463989,12.0,0.0,25,3
14,0903-1-my,12.0,word,1693711374.0929532,465.9999999999999,99.99999999999996,13.0,12.0,0.0,15,1
15,0903-1-my,12.0,word,1693711374.1252058,464.00000000000006,92.00000000000004,8.246211251235321,12.0,0.0,15,1
16,0903-1-my,12.0,word,1693711374.1572618,464.0,85.99999999999997,6.0,12.0,0.0,15,1
17,0903-1-my,12.0,word,1693711374.1892524,465.0,81.99999999999999,4.123105625617661,12.0,0.0,16,1
18,0903-1-my,12.0,word,1693711374.2212777,464.0,79.99999999999997,2.23606797749979,12.0,0.0,16,1
19,0903-1-my,12.0,word,1693711374.2531931,464.0,79.00000000000001,1.0,12.0,0.0,16,1
20,0903-1-my,12.0,word,1693711374.2690847,464.0,78.00000000000001,1.0,12.0,0.0,16,1
21,0903-1-my,12.0,word,1693711374.3012586,463.9999999999999,76.99999999999999,1.0,12.0,0.0,16,1
22,0903-1-my,12.0,word,1693711374.333624,463.0,77.0,1.0,12.0,0.0,15,1
23,0903-1-my,12.0,word,1693711374.3657484,462.9999999999999,75.99999999999997,1.0,12.0,0.0,15,1
24,0903-1-my,12.0,word,1693711374.3976605,462.9999999999999,75.99999999999997,0.0,12.0,0.0,15,1
25,0903-1-my,12.0,word,1693711374.4287777,467.99999999999983,76.00000000000003,5.0,12.0,0.0,16,1
26,0903-1-my,12.0,word,1693711374.461455,477.9999999999999,74.99999999999996,10.04987562112089,12.0,0.0,16,1
27,0903-1-my,12.0,word,1693711374.493613,492.0,74.99999999999999,14.0,12.0,0.0,17,1
28,0903-1-my,12.0,word,1693711374.5096717,503.0,74.00000000000001,11.04536101718726,12.0,0.0,12,1
29,0903-1-my,12.0,word,1693711374.5410795,514.0,72.99999999999999,11.04536101718726,12.0,0.0,7,1
30,0903-1-my,12.0,word,1693711374.5738082,524.0000000000001,71.99999999999999,10.04987562112089,12.0,0.0,7,1
31,0903-1-my,12.0,word,1693711374.6048098,531.0000000000001,72.00000000000001,7.0,12.0,0.0,7,1
32,0903-1-my,12.0,word,1693711374.637001,538.0000000000001,72.00000000000003,7.0,12.0,0.0,6,1
33,0903-1-my,12.0,word,1693711374.6694784,543.0000000000001,72.0,5.0,12.0,0.0,6,1
34,0903-1-my,12.0,word,1693711374.700924,558.0000000000001,72.00000000000001,15.0,12.0,0.0,5,1
35,0903-1-my,12.0,word,1693711374.733271,581.0000000000001,73.00000000000001,23.021728866442675,12.0,0.0,4,1
36,0903-1-my,12.0,word,1693711374.765195,602.9999999999999,72.0,22.02271554554524,12.0,0.0,4,1
37,0903-1-my,12.0,word,1693711374.781493,619.0,73.0,16.0312195418814,12.0,0.0,7,1
38,0903-1-my,12.0,word,1693711374.8137531,631.0000000000001,72.99999999999999,12.0,12.0,0.0,12,1
39,0903-1-my,12.0,word,1693711374.8448482,641.0000000000002,73.00000000000003,10.0,12.0,0.0,12,1
40,0903-1-my,12.0,word,1693711374.8770614,648.0,73.99999999999994,7.071067811865476,12.0,0.0,11,1
41,0903-1-my,12.0,word,1693711374.909394,653.0000000000002,75.00000000000003,5.0990195135927845,12.0,0.0,12,1
42,0903-1-my,12.0,word,1693711374.9413934,657.0000000000001,75.00000000000001,4.0,12.0,0.0,12,1
43,0903-1-my,12.0,word,1693711374.973688,660.0000000000001,74.99999999999999,3.0,12.0,0.0,11,1
44,0903-1-my,12.0,word,1693711375.0047436,660.9999999999998,74.00000000000001,1.4142135623730951,12.0,0.0,11,1
45,0903-1-my,12.0,word,1693711375.0367432,663.0000000000001,73.99999999999999,2.0,12.0,0.0,11,1
46,0903-1-my,12.0,word,1693711375.0687628,665.0000000000001,73.99999999999994,2.0,12.0,0.0,11,1
47,0903-1-my,12.0,word,1693711375.0848246,667.0,74.00000000000004,2.0,12.0,0.0,11,1
48,0903-1-my,12.0,word,1693711375.1168475,667.9999999999999,74.0,1.0,12.0,0.0,11,1
49,0903-1-my,12.0,word,1693711375.1489742,691.0,72.00000000000004,23.08679276123039,12.0,0.0,8,1
50,0903-1-my,12.0,word,1693711375.1809723,739.0000000000001,68.0,48.16637831516918,12.0,0.0,0,1
51,0903-1-my,12.0,word,1693711375.2130296,786.0000000000001,64.99999999999999,47.09564735726647,12.0,0.0,1,1
52,0903-1-my,12.0,word,1693711375.2448823,822.9999999999998,63.99999999999999,37.01351104664349,12.0,0.0,3,1
53,0903-1-my,12.0,word,1693711375.2767704,848.0,62.000000000000014,25.079872407968907,12.0,0.0,6,1
54,0903-1-my,12.0,word,1693711375.3092606,866.0,61.99999999999999,18.0,12.0,0.0,14,1
55,0903-1-my,12.0,word,1693711375.3254936,877.0000000000001,63.00000000000004,11.04536101718726,12.0,0.0,16,1
56,0903-1-my,12.0,word,1693711375.3573856,884.9999999999999,63.99999999999996,8.06225774829855,12.0,0.0,17,1
57,0903-1-my,12.0,word,1693711375.3895216,891.0,64.00000000000003,6.0,12.0,0.0,19,1
58,0903-1-my,12.0,word,1693711375.421702,895.0,63.00000000000001,4.123105625617661,12.0,0.0,20,1
59,0903-1-my,12.0,word,1693711375.4527926,897.0,63.99999999999997,2.23606797749979,12.0,0.0,20,1
60,0903-1-my,12.0,word,1693711375.4848278,899.0000000000001,64.00000000000001,2.0,12.0,0.0,20,1
61,0903-1-my,12.0,word,1693711375.516986,900.0,63.99999999999999,1.0,12.0,0.0,21,1
62,0903-1-my,12.0,word,1693711375.5493045,902.0,63.99999999999999,2.0,12.0,0.0,21,1
63,0903-1-my,12.0,word,1693711375.58146,902.0,65.00000000000001,1.0,12.0,0.0,21,1
64,0903-1-my,12.0,word,1693711375.5976036,903.0,66.00000000000001,1.4142135623730951,12.0,0.0,22,1
65,0903-1-my,12.0,word,1693711375.6290736,904.0,65.99999999999999,1.0,12.0,0.0,21,1
66,0903-1-my,12.0,word,1693711375.6610742,911.0,67.99999999999997,7.280109889280518,12.0,0.0,21,1
67,0903-1-my,12.0,word,1693711375.6930451,925.0,69.00000000000001,14.0356688476182,12.0,0.0,23,1
68,0903-1-my,12.0,word,1693711375.7251587,939.0,69.0,14.0,12.0,0.0,20,1
69,0903-1-my,12.0,word,1693711375.7567492,953.0,70.0,14.0356688476182,12.0,0.0,18,1
70,0903-1-my,12.0,word,1693711375.788945,964.0,70.0,11.0,12.0,0.0,23,1
71,0903-1-my,12.0,word,1693711375.8212545,973.0,70.99999999999997,9.055385138137416,12.0,0.0,20,1
72,0903-1-my,12.0,word,1693711375.8536675,980.0,70.00000000000003,7.071067811865476,12.0,0.0,20,1
73,0903-1-my,12.0,word,1693711375.869699,986.0,71.00000000000006,6.082762530298219,12.0,0.0,20,1
74,0903-1-my,12.0,word,1693711375.9011326,990.0,71.0,4.0,12.0,0.0,19,1
75,0903-1-my,12.0,word,1693711375.93343,993.0000000000002,69.99999999999993,3.1622776601683795,12.0,0.0,18,1
76,0903-1-my,12.0,word,1693711375.9647448,995.0,70.00000000000003,2.0,12.0,0.0,17,1
77,0903-1-my,12.0,word,1693711375.997063,998.0,69.0,3.1622776601683795,12.0,0.0,18,1
78,0903-1-my,12.0,word,1693711376.0293925,999.9999999999998,68.00000000000003,2.23606797749979,12.0,0.0,19,1
79,0903-1-my,12.0,word,1693711376.0616944,1001.0,68.0,1.0,12.0,0.0,19,1
80,0903-1-my,12.0,word,1693711376.093775,1002.0000000000005,67.00000000000001,1.4142135623730951,12.0,0.0,17,1
81,0903-1-my,12.0,word,1693711376.2055676,1134.0,155.00000000000003,158.64425612041552,12.0,0.0,4,3
82,0903-1-my,12.0,word,1693711376.237362,1134.0,166.99999999999994,12.0,12.0,0.0,5,3
83,0903-1-my,12.0,word,1693711376.2696185,1043.0,114.00000000000004,105.30906893520614,12.0,0.0,6,3
84,0903-1-my,12.0,word,1693711376.3009255,1049.0,109.0,7.810249675906654,12.0,0.0,7,3
85,0903-1-my,12.0,word,1693711376.3331964,1059.9999999999998,103.99999999999996,12.083045973594572,12.0,0.0,8,3
86,0903-1-my,12.0,word,1693711376.3652563,1071.0000000000002,97.00000000000006,13.038404810405298,12.0,0.0,18,1
87,0903-1-my,12.0,word,1693711376.3971643,1080.0,90.00000000000006,11.40175425099138,12.0,0.0,32,1
88,0903-1-my,12.0,word,1693711376.413165,1086.9999999999998,85.00000000000001,8.602325267042627,12.0,0.0,36,1
89,0903-1-my,12.0,word,1693711376.4456134,1093.0000000000002,81.99999999999999,6.708203932499369,12.0,0.0,38,1
90,0903-1-my,12.0,word,1693711376.4767346,1099.0,79.00000000000003,6.708203932499369,12.0,0.0,36,1
91,0903-1-my,12.0,word,1693711376.5092387,1102.0000000000002,78.00000000000003,3.1622776601683795,12.0,0.0,36,1
92,0903-1-my,12.0,word,1693711376.5413074,1103.9999999999998,78.00000000000003,2.0,12.0,0.0,35,1
93,0903-1-my,12.0,word,1693711376.5737526,1106.0000000000002,77.00000000000001,2.23606797749979,12.0,0.0,34,1
94,0903-1-my,12.0,word,1693711376.6048708,1107.0000000000002,76.00000000000001,1.4142135623730951,12.0,0.0,34,1
95,0903-1-my,12.0,word,1693711376.6369357,1108.0000000000002,74.00000000000004,2.23606797749979,12.0,0.0,34,1
96,0903-1-my,12.0,word,1693711376.6690562,1109.0,74.0,1.0,12.0,0.0,34,1
97,0903-1-my,12.0,word,1693711376.6850564,1109.0,72.99999999999997,1.0,12.0,0.0,34,1
98,0903-1-my,12.0,word,1693711376.7171571,1110.0000000000002,71.99999999999996,1.4142135623730951,12.0,0.0,35,1
99,0903-1-my,12.0,word,1693711376.748819,1111.0,71.0,1.4142135623730951,12.0,0.0,35,1
100,0903-1-my,12.0,word,1693711376.7807975,1124.0000000000005,71.00000000000003,13.0,12.0,0.0,32,1
101,0903-1-my,12.0,word,1693711376.812913,1154.0,73.00000000000006,30.066592756745816,12.0,0.0,7,1
102,0903-1-my,12.0,word,1693711376.8453937,1185.9999999999998,73.00000000000004,32.0,12.0,0.0,7,1
103,0903-1-my,12.0,word,1693711376.8772771,1214.0000000000002,70.99999999999997,28.0713376952364,12.0,0.0,9,1
104,0903-1-my,12.0,word,1693711376.9096866,1236.0,72.99999999999999,22.09072203437452,12.0,0.0,12,1
105,0903-1-my,12.0,word,1693711376.9407265,1250.0000000000002,75.00000000000003,14.142135623730953,12.0,0.0,18,1
106,0903-1-my,12.0,word,1693711376.9569378,1260.0,75.00000000000004,10.0,12.0,0.0,17,1
107,0903-1-my,12.0,word,1693711376.9893143,1266.0,77.00000000000001,6.324555320336759,12.0,0.0,18,1
108,0903-1-my,12.0,word,1693711377.0213175,1273.0,78.00000000000001,7.071067811865476,12.0,0.0,18,1
109,0903-1-my,12.0,word,1693711377.0533814,1276.0,78.00000000000001,3.0,12.0,0.0,17,1
110,0903-1-my,12.0,word,1693711377.085558,1279.0,78.00000000000003,3.0,12.0,0.0,17,1
111,0903-1-my,12.0,word,1693711377.117613,1282.0000000000005,79.0,3.1622776601683795,12.0,0.0,17,1
112,0903-1-my,12.0,word,1693711377.1487637,1283.0000000000002,76.99999999999997,2.23606797749979,12.0,0.0,17,1
113,0903-1-my,12.0,word,1693711377.1807632,1282.0000000000002,76.00000000000001,1.4142135623730951,12.0,0.0,17,1
114,0903-1-my,12.0,word,1693711377.212847,1273.0000000000002,75.99999999999999,9.0,12.0,0.0,18,1
115,0903-1-my,12.0,word,1693711377.2295177,1249.0000000000002,75.0,24.020824298928627,12.0,0.0,18,1
116,0903-1-my,12.0,word,1693711377.2614963,1215.0000000000002,75.00000000000001,34.0,12.0,0.0,9,1
117,0903-1-my,12.0,word,1693711377.2935286,1179.0,74.00000000000001,36.013886210738214,12.0,0.0,7,1
118,0903-1-my,12.0,word,1693711377.3256147,1149.0000000000002,71.0,30.14962686336267,12.0,0.0,13,1
119,0903-1-my,12.0,word,1693711377.35775,1127.0000000000005,67.99999999999997,22.20360331117452,12.0,0.0,31,1
120,0903-1-my,12.0,word,1693711377.389109,1111.0,65.99999999999997,16.1245154965971,12.0,0.0,35,1
121,0903-1-my,12.0,word,1693711377.421105,1100.0,65.99999999999994,11.0,12.0,0.0,36,1
122,0903-1-my,12.0,word,1693711377.4534185,1093.0000000000002,66.00000000000001,7.0,12.0,0.0,38,1
123,0903-1-my,12.0,word,1693711377.469587,1087.0,65.99999999999999,6.0,12.0,0.0,36,1
124,0903-1-my,12.0,word,1693711377.501588,1082.0000000000002,66.00000000000001,5.0,12.0,0.0,36,1
125,0903-1-my,12.0,word,1693711377.5331702,1093.0000000000002,66.00000000000001,11.0,12.0,0.0,38,1
126,0903-1-my,12.0,word,1693711377.5651708,1104.0,66.0,11.0,12.0,0.0,35,1
127,0903-1-my,12.0,word,1693711377.597655,1130.0000000000002,67.00000000000001,26.019223662515376,12.0,0.0,31,1
128,0903-1-my,12.0,word,1693711377.6296842,1166.0,69.0,36.05551275463989,12.0,0.0,7,1
129,0903-1-my,12.0,word,1693711377.6616795,1202.0000000000002,71.00000000000003,36.05551275463989,12.0,0.0,7,1
130,0903-1-my,12.0,word,1693711377.6927717,1231.0000000000002,70.99999999999997,29.0,12.0,0.0,10,1
131,0903-1-my,12.0,word,1693711377.724771,1252.0000000000002,72.0,21.02379604162864,12.0,0.0,18,1
132,0903-1-my,12.0,word,1693711377.741444,1267.0,73.00000000000004,15.033296378372908,12.0,0.0,18,1
133,0903-1-my,12.0,word,1693711377.7727206,1277.9999999999998,72.99999999999996,11.0,12.0,0.0,17,1
134,0903-1-my,12.0,word,1693711377.8048236,1286.0000000000002,71.00000000000001,8.246211251235321,12.0,0.0,18,1
135,0903-1-my,12.0,word,1693711377.8370607,1292.0000000000002,68.99999999999999,6.324555320336759,12.0,0.0,15,1
136,0903-1-my,12.0,word,1693711377.8689506,1309.0000000000005,68.00000000000001,17.029386365926403,12.0,0.0,14,1
137,0903-1-my,12.0,word,1693711377.901258,1324.0,68.99999999999996,15.033296378372908,12.0,0.0,8,1
138,0903-1-my,12.0,word,1693711377.9334073,1337.0,70.00000000000003,13.038404810405298,12.0,0.0,8,1
139,0903-1-my,12.0,word,1693711377.9654074,1347.0000000000002,71.00000000000004,10.04987562112089,12.0,0.0,8,1
140,0903-1-my,12.0,word,1693711377.997409,1354.0000000000002,72.00000000000003,7.071067811865476,12.0,0.0,8,1
141,0903-1-my,12.0,word,1693711378.0135217,1360.0000000000002,72.0,6.0,12.0,0.0,8,1
142,0903-1-my,12.0,word,1693711378.0454562,1364.0000000000005,72.00000000000001,4.0,12.0,0.0,8,1
143,0903-1-my,12.0,word,1693711378.0774431,1367.0000000000005,71.99999999999999,3.0,12.0,0.0,8,1
144,0903-1-my,12.0,word,1693711378.108739,1376.9999999999998,72.99999999999999,10.04987562112089,12.0,0.0,8,1
145,0903-1-my,12.0,word,1693711378.141234,1389.0000000000002,73.99999999999997,12.041594578792296,12.0,0.0,9,1
146,0903-1-my,12.0,word,1693711378.1732578,1401.0,75.00000000000001,12.041594578792296,12.0,0.0,8,1
147,0903-1-my,12.0,word,1693711378.205347,1410.0000000000002,76.0,9.055385138137416,12.0,0.0,7,1
148,0903-1-my,12.0,word,1693711378.2369337,1418.0000000000002,75.99999999999999,8.0,12.0,0.0,7,1
149,0903-1-my,12.0,word,1693711378.2691426,1425.0,74.99999999999999,7.071067811865476,12.0,0.0,7,1
150,0903-1-my,12.0,word,1693711378.2851117,1430.0000000000002,75.0,5.0,12.0,0.0,7,1
151,0903-1-my,12.0,word,1693711378.3171122,1443.0000000000002,74.99999999999996,13.0,12.0,0.0,7,1
152,0903-1-my,12.0,word,1693711378.349637,1457.000000000001,73.99999999999997,14.0356688476182,12.0,0.0,8,1
153,0903-1-my,12.0,word,1693711378.381062,1469.0,73.99999999999996,12.0,12.0,0.0,13,1
154,0903-1-my,12.0,word,1693711378.413174,1478.0000000000002,72.99999999999999,9.055385138137416,12.0,0.0,19,1
155,0903-1-my,12.0,word,1693711378.445169,1486.0,73.0,8.0,12.0,0.0,18,1
156,0903-1-my,12.0,word,1693711378.4770586,1492.0000000000005,71.00000000000003,6.324555320336759,12.0,0.0,18,1
157,0903-1-my,12.0,word,1693711378.5095563,1497.0,70.0,5.0990195135927845,12.0,0.0,17,1
158,0903-1-my,12.0,word,1693711378.5415258,1500.0000000000002,68.00000000000003,3.605551275463989,12.0,0.0,17,1
159,0903-1-my,12.0,word,1693711378.5576973,1503.0000000000005,67.00000000000004,3.1622776601683795,12.0,0.0,17,1
160,0903-1-my,12.0,word,1693711378.5891893,1505.0000000000005,67.00000000000003,2.0,12.0,0.0,17,1
161,0903-1-my,12.0,word,1693711378.6216557,1507.0000000000002,67.0,2.0,12.0,0.0,17,1
162,0903-1-my,12.0,word,1693711378.6530695,1508.0000000000005,67.00000000000001,1.0,12.0,0.0,17,1
163,0903-1-my,12.0,word,1693711378.6853344,1509.0000000000002,66.99999999999997,1.0,12.0,0.0,16,1
164,0903-1-my,12.0,word,1693711378.7172508,1509.0000000000002,66.99999999999997,0.0,12.0,0.0,16,1
165,0903-1-my,12.0,word,1693711378.748897,1509.9999999999998,66.00000000000001,1.4142135623730951,12.0,0.0,16,1
166,0903-1-my,12.0,word,1693711378.780868,1511.0000000000002,67.00000000000003,1.4142135623730951,12.0,0.0,16,1
167,0903-1-my,12.0,word,1693711378.8129835,1511.0000000000005,65.99999999999997,1.0,12.0,0.0,16,1
168,0903-1-my,12.0,word,1693711378.8290226,1512.0,66.00000000000003,1.0,12.0,0.0,16,1
169,0903-1-my,12.0,word,1693711378.8613696,1512.0,66.00000000000003,0.0,12.0,0.0,16,1
170,0903-1-my,12.0,word,1693711378.8928034,1496.0,64.99999999999999,16.0312195418814,12.0,0.0,17,1
171,0903-1-my,12.0,word,1693711378.9247978,1302.0,63.99999999999999,194.0025773024678,12.0,0.0,15,1
172,0903-1-my,12.0,word,1693711378.9567983,896.0000000000001,104.99999999999996,408.0649458113255,12.0,0.0,16,3
173,0903-1-my,12.0,word,1693711378.988991,645.0000000000001,133.0,252.55692427648864,12.0,0.0,20,3
174,0903-1-my,12.0,word,1693711379.02117,537.0000000000001,142.99999999999997,108.46197490365,12.0,0.0,9,3
175,0903-1-my,12.0,word,1693711379.0532494,492.0,149.0,45.39823785126467,12.0,0.0,15,3
176,0903-1-my,12.0,word,1693711379.0851398,471.0,149.0,21.0,12.0,0.0,17,3
177,0903-1-my,12.0,word,1693711379.1011648,463.0,149.99999999999997,8.06225774829855,12.0,0.0,18,3
178,0903-1-my,12.0,word,1693711379.1334424,458.0,149.00000000000009,5.0990195135927845,12.0,0.0,18,3
179,0903-1-my,12.0,word,1693711379.1654887,443.0,151.00000000000006,15.132745950421556,12.0,0.0,16,3
180,0903-1-my,12.0,word,1693711379.1974804,432.00000000000006,152.00000000000006,11.04536101718726,12.0,0.0,13,3
181,0903-1-my,12.0,word,1693711379.229277,425.0,152.99999999999991,7.071067811865476,12.0,0.0,10,3
182,0903-1-my,12.0,word,1693711379.261247,421.0,153.00000000000006,4.0,12.0,0.0,8,3
183,0903-1-my,12.0,word,1693711379.2933629,418.0,152.00000000000003,3.1622776601683795,12.0,0.0,7,3
184,0903-1-my,12.0,word,1693711379.325278,417.0,152.0,1.0,12.0,0.0,7,3
185,0903-1-my,12.0,word,1693711379.3573973,418.0,150.99999999999994,1.4142135623730951,12.0,0.0,7,3
186,0903-1-my,12.0,word,1693711379.37369,436.0,149.99999999999994,18.027756377319943,12.0,0.0,14,3
187,0903-1-my,12.0,word,1693711379.4047332,476.0,146.0,40.19950248448356,12.0,0.0,16,3
188,0903-1-my,12.0,word,1693711379.4368875,532.0000000000001,140.00000000000003,56.32051136131489,12.0,0.0,8,3
189,0903-1-my,12.0,word,1693711379.4693637,582.0000000000001,135.00000000000003,50.24937810560445,12.0,0.0,20,3
190,0903-1-my,12.0,word,1693711379.5013657,621.0000000000001,130.00000000000006,39.319206502675,12.0,0.0,28,3
191,0903-1-my,12.0,word,1693711379.5334277,647.0000000000001,129.0,26.019223662515376,12.0,0.0,20,3
192,0903-1-my,12.0,word,1693711379.565543,665.0000000000001,128.00000000000003,18.027756377319943,12.0,0.0,28,3
193,0903-1-my,12.0,word,1693711379.5974274,676.0,126.00000000000004,11.180339887498947,12.0,0.0,27,3
194,0903-1-my,12.0,word,1693711379.628951,685.0000000000001,125.00000000000009,9.055385138137416,12.0,0.0,26,3
195,0903-1-my,12.0,word,1693711379.645074,691.0000000000002,125.00000000000006,6.0,12.0,0.0,25,3
196,0903-1-my,12.0,word,1693711379.677116,694.0,125.0,3.0,12.0,0.0,23,3
197,0903-1-my,12.0,word,1693711379.7094212,696.0,124.0,2.23606797749979,12.0,0.0,23,3
198,0903-1-my,12.0,word,1693711379.7411735,699.0,124.99999999999996,3.1622776601683795,12.0,0.0,23,3
199,0903-1-my,12.0,word,1693711379.7734313,699.9999999999999,124.00000000000004,1.4142135623730951,12.0,0.0,23,3
200,0903-1-my,12.0,word,1693711379.805484,698.0,126.00000000000009,2.8284271247461903,12.0,0.0,23,3
201,0903-1-my,12.0,word,1693711379.8368175,691.0000000000001,128.00000000000003,7.280109889280518,12.0,0.0,25,3
202,0903-1-my,12.0,word,1693711379.86928,683.0,129.99999999999994,8.246211251235321,12.0,0.0,27,3
203,0903-1-my,12.0,word,1693711379.9014575,670.0,132.0,13.152946437965904,12.0,0.0,27,3
204,0903-1-my,12.0,word,1693711379.9174285,655.0,134.0,15.132745950421556,12.0,0.0,28,3
205,0903-1-my,12.0,word,1693711379.9490695,641.0,137.99999999999997,14.560219778561036,12.0,0.0,23,3
206,0903-1-my,12.0,word,1693711379.981042,627.0,142.0,14.560219778561036,12.0,0.0,28,3
207,0903-1-my,12.0,word,1693711380.013422,618.0000000000001,144.99999999999997,9.486832980505138,12.0,0.0,29,3
208,0903-1-my,12.0,word,1693711380.0455084,610.0000000000001,146.99999999999994,8.246211251235321,12.0,0.0,26,3
209,0903-1-my,12.0,word,1693711380.0773933,604.0,148.00000000000003,6.082762530298219,12.0,0.0,24,3
210,0903-1-my,12.0,word,1693711380.109394,599.0000000000001,149.0,5.0990195135927845,12.0,0.0,23,3
211,0903-1-my,12.0,word,1693711380.1413925,607.0,148.00000000000003,8.06225774829855,12.0,0.0,25,3
212,0903-1-my,12.0,word,1693711380.1735024,614.0,147.0,7.071067811865476,12.0,0.0,27,3
213,0903-1-my,12.0,word,1693711380.1894183,621.0,145.99999999999994,7.071067811865476,12.0,0.0,28,3
214,0903-1-my,12.0,word,1693711380.221417,632.0,144.99999999999997,11.04536101718726,12.0,0.0,29,3
215,0903-1-my,12.0,word,1693711380.253261,644.0000000000001,145.00000000000006,12.0,12.0,0.0,22,3
216,0903-1-my,12.0,word,1693711380.285256,657.0000000000001,145.0,13.0,12.0,0.0,29,3
217,0903-1-my,12.0,word,1693711380.3171735,668.0000000000001,144.99999999999994,11.0,12.0,0.0,29,3
218,0903-1-my,12.0,word,1693711380.3491752,676.9999999999999,144.0,9.055385138137416,12.0,0.0,29,3
219,0903-1-my,12.0,word,1693711380.381147,719.0,141.99999999999997,42.04759208325728,12.0,0.0,18,3
220,0903-1-my,12.0,word,1693711380.4134183,773.0,141.99999999999997,54.0,12.0,0.0,2,3
221,0903-1-my,12.0,word,1693711380.444728,815.0,137.0,42.2965719651132,12.0,0.0,1,3
222,0903-1-my,12.0,word,1693711380.4608734,844.9999999999999,132.00000000000003,30.4138126514911,12.0,0.0,4,3
223,0903-1-my,12.0,word,1693711380.4932864,865.0000000000001,130.00000000000003,20.09975124224178,12.0,0.0,12,3
224,0903-1-my,12.0,word,1693711380.5251956,878.9999999999999,129.99999999999994,14.0,12.0,0.0,13,3
225,0903-1-my,12.0,word,1693711380.5572534,886.9999999999999,128.99999999999997,8.06225774829855,12.0,0.0,12,3
226,0903-1-my,12.0,word,1693711380.5891962,893.0000000000002,129.00000000000009,6.0,12.0,0.0,12,3
227,0903-1-my,12.0,word,1693711380.6212003,896.0000000000002,128.00000000000006,3.1622776601683795,12.0,0.0,12,3
228,0903-1-my,12.0,word,1693711380.6531963,898.9999999999999,127.0,3.1622776601683795,12.0,0.0,13,3
229,0903-1-my,12.0,word,1693711380.6852012,901.0000000000002,127.0,2.0,12.0,0.0,13,3
230,0903-1-my,12.0,word,1693711380.716789,902.0,128.99999999999994,2.23606797749979,12.0,0.0,13,3
231,0903-1-my,12.0,word,1693711380.7328513,903.0,130.0,1.4142135623730951,12.0,0.0,13,3
232,0903-1-my,12.0,word,1693711380.764783,904.0,129.99999999999997,1.0,12.0,0.0,13,3
233,0903-1-my,12.0,word,1693711380.7976663,915.0,130.99999999999994,11.04536101718726,12.0,0.0,11,3
234,0903-1-my,12.0,word,1693711380.8296888,937.0,130.00000000000003,22.02271554554524,12.0,0.0,8,3
235,0903-1-my,12.0,word,1693711380.8608491,961.0,129.00000000000003,24.020824298928627,12.0,0.0,6,3
236,0903-1-my,12.0,word,1693711380.8933036,983.0,126.99999999999996,22.09072203437452,12.0,0.0,7,3
237,0903-1-my,12.0,word,1693711380.9254174,1000.0,125.99999999999996,17.029386365926403,12.0,0.0,8,3
238,0903-1-my,12.0,word,1693711380.957303,1012.0,125.0,12.041594578792296,12.0,0.0,6,3
