original_index,username,iteration,phase,time,gaze_x,gaze_y,speed,matrix_x,matrix_y,density,row_label
0,0903-3-gsq,31.0,word,1693721006.9433668,759.0,373.00000000000006,74.06078584514209,18.0,0.0,29,5
1,0903-3-gsq,31.0,word,1693721006.9693675,713.0,374.0,46.01086828130936,18.0,0.0,18,5
2,0903-3-gsq,31.0,word,1693721006.9856348,685.0000000000001,373.0,28.0178514522438,18.0,0.0,18,5
3,0903-3-gsq,31.0,word,1693721007.018518,666.0000000000001,371.0,19.1049731745428,18.0,0.0,21,5
4,0903-3-gsq,31.0,word,1693721007.0498598,655.0000000000001,372.00000000000006,11.04536101718726,18.0,0.0,25,5
5,0903-3-gsq,31.0,word,1693721007.0808604,649.0000000000001,373.0,6.082762530298219,18.0,0.0,28,5
6,0903-3-gsq,31.0,word,1693721007.1133244,644.9999999999999,372.0,4.123105625617661,18.0,0.0,26,5
7,0903-3-gsq,31.0,word,1693721007.145934,642.0000000000001,371.0,3.1622776601683795,18.0,0.0,27,5
8,0903-3-gsq,31.0,word,1693721007.176932,632.9999999999999,367.0,9.848857801796104,18.0,0.0,31,5
9,0903-3-gsq,31.0,word,1693721007.209402,623.0,363.0,10.770329614269007,18.0,0.0,26,5
10,0903-3-gsq,31.0,word,1693721007.2409668,614.0000000000001,358.99999999999994,9.848857801796104,18.0,0.0,21,2
11,0903-3-gsq,31.0,word,1693721007.2573545,608.0,354.99999999999994,7.211102550927978,18.0,0.0,17,2
12,0903-3-gsq,31.0,word,1693721007.289428,603.0,353.99999999999994,5.0990195135927845,18.0,0.0,16,2
13,0903-3-gsq,31.0,word,1693721007.3217208,600.0,353.0,3.1622776601683795,18.0,0.0,16,2
14,0903-3-gsq,31.0,word,1693721007.352878,597.0,352.99999999999994,3.0,18.0,0.0,16,2
15,0903-3-gsq,31.0,word,1693721007.385317,596.0000000000001,353.0,1.0,18.0,0.0,16,2
16,0903-3-gsq,31.0,word,1693721007.4175413,594.0000000000002,352.0,2.23606797749979,18.0,0.0,14,2
17,0903-3-gsq,31.0,word,1693721007.4498231,593.0000000000001,352.0,1.0,18.0,0.0,14,2
18,0903-3-gsq,31.0,word,1693721007.4810357,596.0000000000001,352.0,3.0,18.0,0.0,16,2
19,0903-3-gsq,31.0,word,1693721007.51338,600.0,351.0,4.123105625617661,18.0,0.0,16,2
20,0903-3-gsq,31.0,word,1693721007.5289676,604.9999999999998,351.0,5.0,18.0,0.0,16,2
21,0903-3-gsq,31.0,word,1693721007.561104,612.9999999999999,349.99999999999994,8.06225774829855,18.0,0.0,18,2
22,0903-3-gsq,31.0,word,1693721007.5936887,620.0,350.0000000000001,7.0,18.0,0.0,21,2
23,0903-3-gsq,31.0,word,1693721007.6257188,625.9999999999999,349.0,6.082762530298219,18.0,0.0,23,2
24,0903-3-gsq,31.0,word,1693721007.6571455,634.9999999999999,350.0,9.055385138137416,18.0,0.0,23,2
25,0903-3-gsq,31.0,word,1693721007.689382,656.9999999999999,349.0,22.02271554554524,18.0,0.0,18,2
26,0903-3-gsq,31.0,word,1693721007.721515,683.0000000000001,349.0,26.0,18.0,0.0,15,2
27,0903-3-gsq,31.0,word,1693721007.7536097,704.0,348.99999999999994,21.0,18.0,0.0,13,2
28,0903-3-gsq,31.0,word,1693721007.769847,721.9999999999999,346.9999999999999,18.110770276274835,18.0,0.0,13,2
30,0903-3-gsq,31.0,word,1693721007.8974068,775.0,341.99999999999994,116.1077086157504,18.0,0.0,25,2
31,0903-3-gsq,31.0,word,1693721007.9289572,783.9999999999999,337.00000000000006,10.295630140987,18.0,0.0,30,2
32,0903-3-gsq,31.0,word,1693721007.960976,790.0000000000001,339.0,6.324555320336759,18.0,0.0,32,2
33,0903-3-gsq,31.0,word,1693721007.993126,794.0000000000001,340.99999999999994,4.47213595499958,18.0,0.0,32,2
34,0903-3-gsq,31.0,word,1693721008.0252888,808.0000000000001,342.0,14.0356688476182,18.0,0.0,28,2
35,0903-3-gsq,31.0,word,1693721008.0412958,827.0,341.0,19.026297590440446,18.0,0.0,28,2
36,0903-3-gsq,31.0,word,1693721008.0735111,844.9999999999999,341.0,18.0,18.0,0.0,29,2
37,0903-3-gsq,31.0,word,1693721008.105595,856.9999999999999,339.99999999999994,12.041594578792296,18.0,0.0,30,2
38,0903-3-gsq,31.0,word,1693721008.1376214,866.9999999999999,339.0,10.04987562112089,18.0,0.0,33,2
39,0903-3-gsq,31.0,word,1693721008.1695871,874.0000000000001,338.0,7.071067811865476,18.0,0.0,30,2
40,0903-3-gsq,31.0,word,1693721008.2016983,878.9999999999999,337.99999999999994,5.0,18.0,0.0,30,2
41,0903-3-gsq,31.0,word,1693721008.233621,883.9999999999998,336.99999999999994,5.0990195135927845,18.0,0.0,28,2
42,0903-3-gsq,31.0,word,1693721008.265323,886.9999999999999,337.0,3.0,18.0,0.0,27,2
43,0903-3-gsq,31.0,word,1693721008.2972076,889.0000000000001,335.99999999999994,2.23606797749979,18.0,0.0,27,2
44,0903-3-gsq,31.0,word,1693721008.3133578,878.9999999999999,335.99999999999994,10.0,18.0,0.0,31,2
45,0903-3-gsq,31.0,word,1693721008.3449385,866.0000000000001,336.0,13.0,18.0,0.0,34,2
46,0903-3-gsq,31.0,word,1693721008.3768697,839.0000000000001,335.9999999999999,27.0,18.0,0.0,30,2
47,0903-3-gsq,31.0,word,1693721008.4090192,809.9999999999999,336.0,29.0,18.0,0.0,26,2
48,0903-3-gsq,31.0,word,1693721008.4410422,784.0000000000001,335.99999999999994,26.0,18.0,0.0,30,2
49,0903-3-gsq,31.0,word,1693721008.473616,764.0000000000001,336.0,20.0,18.0,0.0,25,2
50,0903-3-gsq,31.0,word,1693721008.5849142,724.9999999999999,381.0,59.54829972383762,18.0,0.0,18,5
51,0903-3-gsq,31.0,word,1693721008.6172607,724.0,382.0,1.4142135623730951,18.0,0.0,18,5
52,0903-3-gsq,31.0,word,1693721008.649413,724.0,375.00000000000006,7.0,18.0,0.0,19,5
53,0903-3-gsq,31.0,word,1693721008.6816375,731.0,370.0,8.602325267042627,18.0,0.0,22,5
54,0903-3-gsq,31.0,word,1693721008.7137704,738.9999999999999,365.9999999999999,8.94427190999916,18.0,0.0,29,5
55,0903-3-gsq,31.0,word,1693721008.7449784,748.0,362.0,9.848857801796104,18.0,0.0,28,2
56,0903-3-gsq,31.0,word,1693721008.7770293,758.0000000000001,357.99999999999994,10.770329614269007,18.0,0.0,28,2
57,0903-3-gsq,31.0,word,1693721008.8091686,766.0,356.0,8.246211251235321,18.0,0.0,28,2
58,0903-3-gsq,31.0,word,1693721008.8415062,769.9999999999999,354.0,4.47213595499958,18.0,0.0,26,2
59,0903-3-gsq,31.0,word,1693721008.8575711,769.0,353.0,1.4142135623730951,18.0,0.0,25,2
60,0903-3-gsq,31.0,word,1693721008.889723,768.0,353.0,1.0,18.0,0.0,25,2
61,0903-3-gsq,31.0,word,1693721008.9210267,768.0,353.0,0.0,18.0,0.0,25,2
62,0903-3-gsq,31.0,word,1693721008.9530027,766.9999999999999,352.99999999999994,1.0,18.0,0.0,26,2
63,0903-3-gsq,31.0,word,1693721008.9854083,766.0,352.0,1.4142135623730951,18.0,0.0,26,2
64,0903-3-gsq,31.0,word,1693721009.0169394,766.0,352.0,0.0,18.0,0.0,26,2
65,0903-3-gsq,31.0,word,1693721009.049508,765.0,351.99999999999994,1.0,18.0,0.0,26,2
66,0903-3-gsq,31.0,word,1693721009.0815258,771.0000000000001,352.00000000000006,6.0,18.0,0.0,26,2
67,0903-3-gsq,31.0,word,1693721009.112901,783.9999999999998,349.0,13.341664064126334,18.0,0.0,27,2
68,0903-3-gsq,31.0,word,1693721009.12917,802.0,346.0,18.24828759089466,18.0,0.0,33,2
69,0903-3-gsq,31.0,word,1693721009.161481,819.9999999999999,346.0,18.0,18.0,0.0,28,2
70,0903-3-gsq,31.0,word,1693721009.1935172,833.9999999999999,344.99999999999994,14.0356688476182,18.0,0.0,26,2
71,0903-3-gsq,31.0,word,1693721009.2258158,843.9999999999999,344.0,10.04987562112089,18.0,0.0,26,2
72,0903-3-gsq,31.0,word,1693721009.2570589,852.0000000000002,344.0,8.0,18.0,0.0,27,2
73,0903-3-gsq,31.0,word,1693721009.2896078,859.0,344.00000000000006,7.0,18.0,0.0,29,2
74,0903-3-gsq,31.0,word,1693721009.3216035,863.9999999999999,345.0,5.0990195135927845,18.0,0.0,33,2
75,0903-3-gsq,31.0,word,1693721009.353803,876.0,345.9999999999999,12.041594578792296,18.0,0.0,33,2
76,0903-3-gsq,31.0,word,1693721009.38492,896.0000000000001,347.9999999999999,20.09975124224178,18.0,0.0,33,2
77,0903-3-gsq,31.0,word,1693721009.401881,915.0,347.99999999999994,19.0,18.0,0.0,27,2
78,0903-3-gsq,31.0,word,1693721009.4332974,929.0,349.00000000000006,14.0356688476182,18.0,0.0,17,2
79,0903-3-gsq,31.0,word,1693721009.4648774,941.0,349.0,12.0,18.0,0.0,13,2
80,0903-3-gsq,31.0,word,1693721009.497238,949.0,347.00000000000006,8.246211251235321,18.0,0.0,12,2
81,0903-3-gsq,31.0,word,1693721009.529575,956.9999999999998,345.9999999999999,8.06225774829855,18.0,0.0,11,2
82,0903-3-gsq,31.0,word,1693721009.5609696,975.9999999999998,347.99999999999994,19.1049731745428,18.0,0.0,19,2
83,0903-3-gsq,31.0,word,1693721009.5931623,1000.0,349.00000000000006,24.020824298928627,18.0,0.0,20,2
84,0903-3-gsq,31.0,word,1693721009.6254537,1021.0,348.9999999999999,21.0,18.0,0.0,20,2
85,0903-3-gsq,31.0,word,1693721009.6577885,1037.0,349.99999999999994,16.0312195418814,18.0,0.0,22,2
86,0903-3-gsq,31.0,word,1693721009.6736746,1048.0,348.99999999999994,11.04536101718726,18.0,0.0,23,2
87,0903-3-gsq,31.0,word,1693721009.70514,1057.9999999999998,347.99999999999994,10.04987562112089,18.0,0.0,26,2
88,0903-3-gsq,31.0,word,1693721009.7372923,1063.9999999999998,347.99999999999994,6.0,18.0,0.0,24,2
89,0903-3-gsq,31.0,word,1693721009.7690215,1068.0,347.99999999999994,4.0,18.0,0.0,23,2
90,0903-3-gsq,31.0,word,1693721009.801339,1070.9999999999998,348.9999999999999,3.1622776601683795,18.0,0.0,21,2
91,0903-3-gsq,31.0,word,1693721009.8337045,1073.9999999999998,349.99999999999994,3.1622776601683795,18.0,0.0,22,2
92,0903-3-gsq,31.0,word,1693721009.8650022,1077.0,350.99999999999994,3.1622776601683795,18.0,0.0,21,2
93,0903-3-gsq,31.0,word,1693721009.897033,1081.0,351.0,4.0,18.0,0.0,21,2
94,0903-3-gsq,31.0,word,1693721009.9290018,1087.0,350.99999999999994,6.0,18.0,0.0,19,2
95,0903-3-gsq,31.0,word,1693721009.9453084,1092.9999999999998,353.0,6.324555320336759,18.0,0.0,18,2
96,0903-3-gsq,31.0,word,1693721009.9772024,1097.0,352.99999999999994,4.0,18.0,0.0,18,2
97,0903-3-gsq,31.0,word,1693721010.0092845,1099.9999999999998,352.99999999999994,3.0,18.0,0.0,16,2
98,0903-3-gsq,31.0,word,1693721010.0416164,1108.0,354.0,8.06225774829855,18.0,0.0,11,2
99,0903-3-gsq,31.0,word,1693721010.0739148,1129.0,356.0,21.095023109728988,18.0,0.0,7,2
100,0903-3-gsq,31.0,word,1693721010.1051395,1151.9999999999998,357.0,23.021728866442675,18.0,0.0,3,2
101,0903-3-gsq,31.0,word,1693721010.1371596,1170.0,357.99999999999994,18.027756377319943,18.0,0.0,6,2
102,0903-3-gsq,31.0,word,1693721010.1695387,1184.0,358.00000000000006,14.0,18.0,0.0,10,2
103,0903-3-gsq,31.0,word,1693721010.185546,1194.9999999999998,356.0,11.180339887498947,18.0,0.0,9,2
104,0903-3-gsq,31.0,word,1693721010.2176583,1201.9999999999998,356.0,7.0,18.0,0.0,10,2
105,0903-3-gsq,31.0,word,1693721010.249546,1207.9999999999998,353.99999999999994,6.324555320336759,18.0,0.0,9,2
106,0903-3-gsq,31.0,word,1693721010.2816913,1220.9999999999998,352.99999999999994,13.038404810405298,18.0,0.0,10,2
107,0903-3-gsq,31.0,word,1693721010.3130848,1236.9999999999998,352.99999999999994,16.0,18.0,0.0,12,2
108,0903-3-gsq,31.0,word,1693721010.345709,1249.0,353.0,12.0,18.0,0.0,12,2
109,0903-3-gsq,31.0,word,1693721010.3770156,1258.9999999999995,352.0,10.04987562112089,18.0,0.0,14,2
110,0903-3-gsq,31.0,word,1693721010.4094894,1266.9999999999998,351.99999999999994,8.0,18.0,0.0,14,2
111,0903-3-gsq,31.0,word,1693721010.4415286,1273.0,353.00000000000006,6.082762530298219,18.0,0.0,13,2
112,0903-3-gsq,31.0,word,1693721010.4730232,1277.9999999999998,352.99999999999994,5.0,18.0,0.0,13,2
113,0903-3-gsq,31.0,word,1693721010.4894483,1281.0,355.0,3.605551275463989,18.0,0.0,14,2
114,0903-3-gsq,31.0,word,1693721010.5217242,1294.999999999999,354.9999999999999,14.0,18.0,0.0,11,2
115,0903-3-gsq,31.0,word,1693721010.5532603,1313.9999999999998,355.00000000000006,19.0,18.0,0.0,6,2
116,0903-3-gsq,31.0,word,1693721010.5857382,1331.9999999999998,356.0,18.027756377319943,18.0,0.0,4,2
117,0903-3-gsq,31.0,word,1693721010.6179287,1346.9999999999998,354.99999999999994,15.033296378372908,18.0,0.0,3,2
118,0903-3-gsq,31.0,word,1693721010.6972363,1409.0000000000002,515.0,171.5925406304132,18.0,0.0,2,3
119,0903-3-gsq,31.0,word,1693721010.7292452,1413.0,518.0,5.0,18.0,0.0,2,4
120,0903-3-gsq,31.0,word,1693721010.760974,1416.0,488.0,30.14962686336267,18.0,0.0,3,3
121,0903-3-gsq,31.0,word,1693721010.792974,1419.9999999999998,454.0,34.23448553724738,18.0,0.0,8,0
122,0903-3-gsq,31.0,word,1693721010.8250885,1424.9999999999998,424.0,30.4138126514911,18.0,0.0,10,0
123,0903-3-gsq,31.0,word,1693721010.8575397,1430.0,400.0,24.515301344262525,18.0,0.0,11,5
124,0903-3-gsq,31.0,word,1693721010.889891,1431.9999999999998,384.0,16.1245154965971,18.0,0.0,11,5
125,0903-3-gsq,31.0,word,1693721010.9219182,1431.9999999999998,371.0,13.0,18.0,0.0,11,5
126,0903-3-gsq,31.0,word,1693721010.953043,1431.9999999999998,362.0,9.0,18.0,0.0,9,2
127,0903-3-gsq,31.0,word,1693721010.9853578,1435.0,353.99999999999994,8.54400374531753,18.0,0.0,7,2
128,0903-3-gsq,31.0,word,1693721011.0173776,1452.0,350.99999999999994,17.26267650163207,18.0,0.0,11,2
129,0903-3-gsq,31.0,word,1693721011.0333772,1465.0000000000002,349.0,13.152946437965904,18.0,0.0,13,2
130,0903-3-gsq,31.0,word,1693721011.0649734,1476.0000000000002,349.0,11.0,18.0,0.0,9,2
131,0903-3-gsq,31.0,word,1693721011.097438,1485.0000000000002,349.0,9.0,18.0,0.0,9,2
132,0903-3-gsq,31.0,word,1693721011.1297984,1489.9999999999995,349.0,5.0,18.0,0.0,9,2
133,0903-3-gsq,31.0,word,1693721011.1609502,1494.9999999999998,348.99999999999994,5.0,18.0,0.0,9,2
134,0903-3-gsq,31.0,word,1693721011.1933146,1499.0,349.0,4.0,18.0,0.0,9,2
135,0903-3-gsq,31.0,word,1693721011.225341,1501.0,348.99999999999994,2.0,18.0,0.0,9,2
136,0903-3-gsq,31.0,word,1693721011.257553,1502.9999999999998,348.0,2.23606797749979,18.0,0.0,9,2
137,0903-3-gsq,31.0,word,1693721011.2734632,1491.0,346.0,12.16552506059644,18.0,0.0,9,2
138,0903-3-gsq,31.0,word,1693721011.3058164,1342.9999999999998,349.0,148.03040228277433,18.0,0.0,3,2
139,0903-3-gsq,31.0,word,1693721011.3369656,922.0,383.9999999999999,422.45236417849526,18.0,0.0,17,5
140,0903-3-gsq,31.0,word,1693721011.369402,652.9999999999999,409.0,270.1592123174777,18.0,0.0,24,5
141,0903-3-gsq,31.0,word,1693721011.4016616,540.0000000000001,418.0,113.35784048754634,18.0,0.0,27,0
142,0903-3-gsq,31.0,word,1693721011.4338698,493.00000000000006,420.0,47.042533945356304,18.0,0.0,37,0
143,0903-3-gsq,31.0,word,1693721011.4650218,475.0000000000001,423.0,18.24828759089466,18.0,0.0,36,0
144,0903-3-gsq,31.0,word,1693721011.4975026,466.00000000000006,425.00000000000006,9.219544457292889,18.0,0.0,25,0
145,0903-3-gsq,31.0,word,1693721011.5296478,464.00000000000006,423.0,2.8284271247461903,18.0,0.0,23,0
146,0903-3-gsq,31.0,word,1693721011.5456574,446.0000000000001,427.0,18.43908891458577,18.0,0.0,19,0
147,0903-3-gsq,31.0,word,1693721011.5770764,448.0,427.9999999999999,2.23606797749979,18.0,0.0,20,0
148,0903-3-gsq,31.0,word,1693721011.6097806,453.0,427.0,5.0990195135927845,18.0,0.0,20,0
149,0903-3-gsq,31.0,word,1693721011.6419303,456.0,420.0,7.615773105863909,18.0,0.0,21,0
152,0903-3-gsq,31.0,word,1693721011.801731,520.0,588.0,328.3245345690754,18.0,0.0,3,1
153,0903-3-gsq,31.0,word,1693721011.8177612,539.0,491.0,98.84331034521254,18.0,0.0,7,3
154,0903-3-gsq,31.0,word,1693721011.849052,552.0,441.9999999999999,50.69516742254631,18.0,0.0,6,0
155,0903-3-gsq,31.0,word,1693721011.881368,560.0,420.0,23.40939982143925,18.0,0.0,20,0
156,0903-3-gsq,31.0,word,1693721011.913482,568.0000000000001,411.0,12.041594578792296,18.0,0.0,20,5
157,0903-3-gsq,31.0,word,1693721011.9456463,574.0,406.00000000000006,7.810249675906654,18.0,0.0,18,5
158,0903-3-gsq,31.0,word,1693721011.9769688,580.9999999999999,404.0,7.280109889280518,18.0,0.0,16,5
159,0903-3-gsq,31.0,word,1693721012.0089085,583.9999999999999,402.0,3.605551275463989,18.0,0.0,17,5
160,0903-3-gsq,31.0,word,1693721012.0413468,586.0000000000001,401.0,2.23606797749979,18.0,0.0,18,5
161,0903-3-gsq,31.0,word,1693721012.0738592,589.0,401.0,3.0,18.0,0.0,18,5
162,0903-3-gsq,31.0,word,1693721012.104999,591.0,401.0,2.0,18.0,0.0,17,5
163,0903-3-gsq,31.0,word,1693721012.120897,592.0,401.0,1.0,18.0,0.0,17,5
164,0903-3-gsq,31.0,word,1693721012.1533232,632.0,399.0,40.049968789001575,18.0,0.0,24,5
165,0903-3-gsq,31.0,word,1693721012.185904,887.0000000000001,385.0,255.3840245590941,18.0,0.0,13,5
