original_index,username,iteration,phase,time,gaze_x,gaze_y,speed,matrix_x,matrix_y,density,row_label
9,0903-4-lcr,16.0,word,1693724271.3128922,340.0,147.00000000000003,104.17773274553444,15.0,0.0,0,1
10,0903-4-lcr,16.0,word,1693724271.3454869,402.9999999999999,175.99999999999991,69.35416353759881,15.0,0.0,9,1
11,0903-4-lcr,16.0,word,1693724271.377005,424.0,183.0,22.13594362117865,15.0,0.0,10,1
12,0903-4-lcr,16.0,word,1693724271.409131,425.0,184.99999999999997,2.23606797749979,15.0,0.0,10,1
13,0903-4-lcr,16.0,word,1693724271.4413526,424.99999999999983,188.0,3.0,15.0,0.0,10,1
14,0903-4-lcr,16.0,word,1693724271.473039,425.9999999999999,187.99999999999991,1.0,15.0,0.0,10,1
15,0903-4-lcr,16.0,word,1693724271.4889498,426.0,190.00000000000003,2.0,15.0,0.0,10,1
16,0903-4-lcr,16.0,word,1693724271.5212867,425.9999999999999,191.9999999999999,2.0,15.0,0.0,10,1
17,0903-4-lcr,16.0,word,1693724271.5526986,426.0,193.0,1.0,15.0,0.0,10,1
18,0903-4-lcr,16.0,word,1693724271.585634,426.99999999999983,195.0,2.23606797749979,15.0,0.0,10,1
19,0903-4-lcr,16.0,word,1693724271.6166766,432.0,194.99999999999997,5.0,15.0,0.0,11,1
20,0903-4-lcr,16.0,word,1693724271.6496124,449.9999999999999,193.99999999999991,18.027756377319943,15.0,0.0,11,1
21,0903-4-lcr,16.0,word,1693724271.6816144,471.0,191.99999999999997,21.095023109728988,15.0,0.0,4,1
22,0903-4-lcr,16.0,word,1693724271.712881,489.0,192.0,18.0,15.0,0.0,5,1
23,0903-4-lcr,16.0,word,1693724271.7448037,503.9999999999999,193.0,15.033296378372908,15.0,0.0,4,1
24,0903-4-lcr,16.0,word,1693724271.7608716,517.0,193.99999999999991,13.038404810405298,15.0,0.0,4,1
25,0903-4-lcr,16.0,word,1693724271.7933977,526.9999999999998,196.0,10.198039027185567,15.0,0.0,4,1
26,0903-4-lcr,16.0,word,1693724271.8246849,552.9999999999999,195.99999999999997,26.0,15.0,0.0,3,1
27,0903-4-lcr,16.0,word,1693724271.8572838,581.0,196.0,28.0,15.0,0.0,2,1
28,0903-4-lcr,16.0,word,1693724271.8891945,602.9999999999999,193.9999999999999,22.09072203437452,15.0,0.0,3,1
29,0903-4-lcr,16.0,word,1693724271.921198,621.0,194.0,18.0,15.0,0.0,3,1
30,0903-4-lcr,16.0,word,1693724271.9527204,632.9999999999999,196.0,12.16552506059644,15.0,0.0,4,1
31,0903-4-lcr,16.0,word,1693724271.9848034,651.9999999999998,195.99999999999997,19.0,15.0,0.0,4,1
32,0903-4-lcr,16.0,word,1693724272.0172586,671.9999999999999,196.0,20.0,15.0,0.0,5,1
33,0903-4-lcr,16.0,word,1693724272.0333378,685.9999999999999,195.0,14.0356688476182,15.0,0.0,7,1
34,0903-4-lcr,16.0,word,1693724272.065656,697.0,195.0,11.0,15.0,0.0,6,1
35,0903-4-lcr,16.0,word,1693724272.0975444,706.0,196.0,9.055385138137416,15.0,0.0,7,1
36,0903-4-lcr,16.0,word,1693724272.1295662,711.9999999999999,197.0,6.082762530298219,15.0,0.0,6,1
37,0903-4-lcr,16.0,word,1693724272.1611123,716.0000000000001,197.0,4.0,15.0,0.0,7,1
38,0903-4-lcr,16.0,word,1693724272.1934664,722.9999999999999,198.00000000000003,7.071067811865476,15.0,0.0,7,1
39,0903-4-lcr,16.0,word,1693724272.2247145,738.0,199.00000000000003,15.033296378372908,15.0,0.0,11,1
40,0903-4-lcr,16.0,word,1693724272.256765,755.0,200.0,17.029386365926403,15.0,0.0,11,1
41,0903-4-lcr,16.0,word,1693724272.2726517,767.9999999999997,200.99999999999997,13.038404810405298,15.0,0.0,10,1
42,0903-4-lcr,16.0,word,1693724272.3048012,778.0,204.0,10.44030650891055,15.0,0.0,10,1
43,0903-4-lcr,16.0,word,1693724272.336872,776.0,206.00000000000003,2.8284271247461903,15.0,0.0,11,1
44,0903-4-lcr,16.0,word,1693724272.3690677,772.9999999999998,208.99999999999991,4.242640687119285,15.0,0.0,10,1
45,0903-4-lcr,16.0,word,1693724272.400643,770.9999999999998,212.0,3.605551275463989,15.0,0.0,10,1
46,0903-4-lcr,16.0,word,1693724272.4327989,769.0,212.00000000000009,2.0,15.0,0.0,10,1
47,0903-4-lcr,16.0,word,1693724272.464816,767.9999999999999,212.00000000000003,1.0,15.0,0.0,10,1
48,0903-4-lcr,16.0,word,1693724272.496827,777.0000000000001,213.0,9.055385138137416,15.0,0.0,10,1
49,0903-4-lcr,16.0,word,1693724272.5291271,793.9999999999998,212.0,17.029386365926403,15.0,0.0,10,1
50,0903-4-lcr,16.0,word,1693724272.5451274,814.0,213.00000000000003,20.024984394500787,15.0,0.0,6,1
51,0903-4-lcr,16.0,word,1693724272.5775075,832.9999999999999,213.0,19.0,15.0,0.0,5,1
52,0903-4-lcr,16.0,word,1693724272.609701,846.9999999999999,212.0,14.0356688476182,15.0,0.0,4,1
53,0903-4-lcr,16.0,word,1693724272.6408346,857.9999999999998,211.0,11.04536101718726,15.0,0.0,3,1
54,0903-4-lcr,16.0,word,1693724272.673179,867.0000000000001,210.0,9.055385138137416,15.0,0.0,4,1
55,0903-4-lcr,16.0,word,1693724272.705435,901.0,208.0,34.058772731852805,15.0,0.0,2,1
56,0903-4-lcr,16.0,word,1693724272.7374184,938.9999999999998,207.0,38.01315561749642,15.0,0.0,2,1
57,0903-4-lcr,16.0,word,1693724272.7688673,967.9999999999998,207.0,29.0,15.0,0.0,3,1
58,0903-4-lcr,16.0,word,1693724272.80099,987.9999999999998,208.0,20.024984394500787,15.0,0.0,17,1
59,0903-4-lcr,16.0,word,1693724272.81756,1002.0,207.0,14.0356688476182,15.0,0.0,23,1
60,0903-4-lcr,16.0,word,1693724272.8495898,1012.9999999999998,206.0,11.04536101718726,15.0,0.0,23,1
61,0903-4-lcr,16.0,word,1693724272.8807018,1020.9999999999995,204.99999999999991,8.06225774829855,15.0,0.0,25,1
62,0903-4-lcr,16.0,word,1693724272.9130466,1026.0,205.0,5.0,15.0,0.0,26,1
63,0903-4-lcr,16.0,word,1693724272.9455268,1029.9999999999995,204.99999999999997,4.0,15.0,0.0,26,1
64,0903-4-lcr,16.0,word,1693724272.9776084,1039.9999999999995,205.0,10.0,15.0,0.0,26,1
65,0903-4-lcr,16.0,word,1693724273.0094953,1063.999999999999,206.9999999999999,24.08318915758459,15.0,0.0,17,1
66,0903-4-lcr,16.0,word,1693724273.041492,1086.9999999999995,206.99999999999991,23.0,15.0,0.0,13,1
67,0903-4-lcr,16.0,word,1693724273.0734909,1106.9999999999998,208.99999999999997,20.09975124224178,15.0,0.0,16,1
68,0903-4-lcr,16.0,word,1693724273.0894914,1122.0,210.99999999999997,15.132745950421556,15.0,0.0,16,1
69,0903-4-lcr,16.0,word,1693724273.1215203,1134.999999999999,212.99999999999991,13.152946437965904,15.0,0.0,15,1
70,0903-4-lcr,16.0,word,1693724273.1529446,1141.9999999999998,214.0,7.071067811865476,15.0,0.0,15,1
71,0903-4-lcr,16.0,word,1693724273.1849468,1149.9999999999998,214.0,8.0,15.0,0.0,15,1
72,0903-4-lcr,16.0,word,1693724273.217028,1136.999999999999,212.99999999999997,13.038404810405298,15.0,0.0,16,1
73,0903-4-lcr,16.0,word,1693724273.2486372,1127.9999999999998,213.0,9.0,15.0,0.0,16,1
74,0903-4-lcr,16.0,word,1693724273.2809448,1121.9999999999998,212.99999999999997,6.0,15.0,0.0,16,1
75,0903-4-lcr,16.0,word,1693724273.3135965,1108.9999999999995,211.00000000000003,13.152946437965904,15.0,0.0,16,1
76,0903-4-lcr,16.0,word,1693724273.3448615,1094.9999999999998,210.00000000000003,14.0356688476182,15.0,0.0,14,1
77,0903-4-lcr,16.0,word,1693724273.3607452,1079.9999999999998,207.0,15.297058540778355,15.0,0.0,12,1
78,0903-4-lcr,16.0,word,1693724273.3927853,1066.9999999999998,205.99999999999997,13.038404810405298,15.0,0.0,15,1
79,0903-4-lcr,16.0,word,1693724273.425011,1055.9999999999998,203.0,11.40175425099138,15.0,0.0,23,1
80,0903-4-lcr,16.0,word,1693724273.4571595,1046.9999999999998,202.0,9.055385138137416,15.0,0.0,27,1
