original_index,username,iteration,phase,time,gaze_x,gaze_y,speed,matrix_x,matrix_y,density,row_label
0,0905-4-cjx,17.0,word,1693895118.6931484,870.9999999999999,343.0,0.0,27.0,0.0,21,0
1,0905-4-cjx,17.0,word,1693895118.7141745,870.9999999999999,343.0,0.0,27.0,0.0,21,0
2,0905-4-cjx,17.0,word,1693895118.730149,870.9999999999999,343.0,0.0,27.0,0.0,21,0
3,0905-4-cjx,17.0,word,1693895118.7612607,872.0000000000001,343.0,1.0,27.0,0.0,21,0
4,0905-4-cjx,17.0,word,1693895118.7941492,872.0000000000001,343.0,0.0,27.0,0.0,21,0
5,0905-4-cjx,17.0,word,1693895118.8261845,872.0000000000001,343.0,0.0,27.0,0.0,21,0
6,0905-4-cjx,17.0,word,1693895118.8575232,872.0000000000001,343.0,0.0,27.0,0.0,21,0
7,0905-4-cjx,17.0,word,1693895118.8896475,873.0,342.99999999999994,1.0,27.0,0.0,20,0
8,0905-4-cjx,17.0,word,1693895118.9220104,870.9999999999999,343.0,2.0,27.0,0.0,21,0
9,0905-4-cjx,17.0,word,1693895118.9542508,851.0,343.99999999999994,20.024984394500787,27.0,0.0,20,0
10,0905-4-cjx,17.0,word,1693895118.9701388,803.9999999999999,342.0,47.042533945356304,27.0,0.0,8,0
11,0905-4-cjx,17.0,word,1693895119.0017552,755.9999999999999,343.99999999999994,48.04164859785725,27.0,0.0,12,0
12,0905-4-cjx,17.0,word,1693895119.033993,716.0,343.99999999999994,40.0,27.0,0.0,20,0
13,0905-4-cjx,17.0,word,1693895119.0661223,685.0,342.99999999999994,31.016124838541646,27.0,0.0,26,0
14,0905-4-cjx,17.0,word,1693895119.0981371,664.0,344.9999999999999,21.095023109728988,27.0,0.0,57,0
15,0905-4-cjx,17.0,word,1693895119.1294646,649.9999999999998,346.99999999999994,14.142135623730953,27.0,0.0,67,0
16,0905-4-cjx,17.0,word,1693895119.161898,641.0,346.0,9.055385138137416,27.0,0.0,68,0
17,0905-4-cjx,17.0,word,1693895119.194026,635.9999999999999,343.99999999999994,5.385164807134504,27.0,0.0,70,0
18,0905-4-cjx,17.0,word,1693895119.225306,632.0000000000001,342.99999999999994,4.123105625617661,27.0,0.0,71,0
19,0905-4-cjx,17.0,word,1693895119.2574296,629.0000000000001,342.9999999999999,3.0,27.0,0.0,72,0
20,0905-4-cjx,17.0,word,1693895119.289436,626.0,341.99999999999994,3.1622776601683795,27.0,0.0,75,0
21,0905-4-cjx,17.0,word,1693895119.3057094,623.9999999999999,338.9999999999999,3.605551275463989,27.0,0.0,77,0
22,0905-4-cjx,17.0,word,1693895119.3376238,621.0000000000001,337.99999999999994,3.1622776601683795,27.0,0.0,80,0
23,0905-4-cjx,17.0,word,1693895119.3697424,612.0,339.0,9.055385138137416,27.0,0.0,75,0
24,0905-4-cjx,17.0,word,1693895119.4018574,601.9999999999999,338.99999999999994,10.0,27.0,0.0,64,0
25,0905-4-cjx,17.0,word,1693895119.433744,594.0,339.0,8.0,27.0,0.0,50,0
26,0905-4-cjx,17.0,word,1693895119.4660442,587.0000000000002,340.0,7.071067811865476,27.0,0.0,33,0
27,0905-4-cjx,17.0,word,1693895119.4980502,582.0,340.0,5.0,27.0,0.0,26,0
28,0905-4-cjx,17.0,word,1693895119.5140238,559.0,388.0,53.225933528685054,27.0,0.0,14,5
29,0905-4-cjx,17.0,word,1693895119.641533,575.0,523.9999999999998,136.93794214898952,27.0,0.0,0,1
30,0905-4-cjx,17.0,word,1693895119.6736274,540.0000000000001,439.0,91.92388155425118,27.0,0.0,1,2
