original_index,username,iteration,phase,time,gaze_x,gaze_y,speed,matrix_x,matrix_y,density,row_label
0,0905-5-lyy,12.0,word,1693897921.3497183,1075.0,65.99999999999999,51.07837115648854,35.0,0.0,4,0
1,0905-5-lyy,12.0,word,1693897921.3767447,1054.0000000000002,55.99999999999999,23.259406699226016,35.0,0.0,8,0
2,0905-5-lyy,12.0,word,1693897921.3928244,1043.0,54.99999999999999,11.04536101718726,35.0,0.0,8,0
3,0905-5-lyy,12.0,word,1693897921.4247446,1037.0,52.0,6.708203932499369,35.0,0.0,7,0
4,0905-5-lyy,12.0,word,1693897921.4569068,1035.0000000000005,50.99999999999999,2.23606797749979,35.0,0.0,7,0
5,0905-5-lyy,12.0,word,1693897921.489071,1034.0000000000002,51.0,1.0,35.0,0.0,7,0
6,0905-5-lyy,12.0,word,1693897921.521363,1033.0000000000002,51.0,1.0,35.0,0.0,7,0
7,0905-5-lyy,12.0,word,1693897921.5535488,1027.0,53.000000000000014,6.324555320336759,35.0,0.0,7,0
8,0905-5-lyy,12.0,word,1693897921.5848804,977.0,70.00000000000003,52.81098370604357,35.0,0.0,1,0
9,0905-5-lyy,12.0,word,1693897921.616881,906.0,96.0,75.61084578286372,35.0,0.0,1,0
10,0905-5-lyy,12.0,word,1693897921.6489663,850.0000000000001,119.00000000000004,60.53924347066124,35.0,0.0,11,0
11,0905-5-lyy,12.0,word,1693897921.6649954,812.0000000000001,136.0,41.6293165929973,35.0,0.0,15,0
12,0905-5-lyy,12.0,word,1693897921.6969988,786.9999999999999,147.99999999999994,27.73084924772409,35.0,0.0,18,3
13,0905-5-lyy,12.0,word,1693897921.729077,766.9999999999999,156.0,21.54065922853801,35.0,0.0,13,3
14,0905-5-lyy,12.0,word,1693897921.7609673,716.0000000000001,153.0,51.0881590977792,35.0,0.0,19,3
15,0905-5-lyy,12.0,word,1693897921.7929966,671.0,149.99999999999997,45.09988913511872,35.0,0.0,10,3
16,0905-5-lyy,12.0,word,1693897921.8249874,641.0,147.00000000000003,30.14962686336267,35.0,0.0,8,3
17,0905-5-lyy,12.0,word,1693897922.001657,480.00000000000006,321.00000000000006,237.0590643700426,35.0,0.0,25,1
18,0905-5-lyy,12.0,word,1693897922.032722,467.9999999999999,323.0,12.16552506059644,35.0,0.0,26,1
19,0905-5-lyy,12.0,word,1693897922.065168,479.0,285.99999999999994,38.60051813123757,35.0,0.0,25,1
20,0905-5-lyy,12.0,word,1693897922.0972018,509.0,224.00000000000009,68.87670143089025,35.0,0.0,20,5
21,0905-5-lyy,12.0,word,1693897922.1294065,548.9999999999999,183.0,57.28001396647874,35.0,0.0,14,3
22,0905-5-lyy,12.0,word,1693897922.160812,601.0000000000001,154.00000000000006,59.53990258641679,35.0,0.0,4,3
23,0905-5-lyy,12.0,word,1693897922.176963,645.0000000000001,133.00000000000003,48.75448697299562,35.0,0.0,9,0
24,0905-5-lyy,12.0,word,1693897922.2093308,674.9999999999999,119.00000000000004,33.1058907144937,35.0,0.0,17,0
25,0905-5-lyy,12.0,word,1693897922.2414677,693.9999999999999,109.0,21.470910553583888,35.0,0.0,17,0
26,0905-5-lyy,12.0,word,1693897922.272805,709.0,99.0,18.027756377319943,35.0,0.0,20,0
27,0905-5-lyy,12.0,word,1693897922.3048315,721.0,86.99999999999997,16.97056274847714,35.0,0.0,12,0
28,0905-5-lyy,12.0,word,1693897922.3369784,728.9999999999999,76.0,13.601470508735444,35.0,0.0,4,0
29,0905-5-lyy,12.0,word,1693897922.3696735,731.0,65.99999999999999,10.198039027185567,35.0,0.0,4,0
30,0905-5-lyy,12.0,word,1693897922.4010053,749.0,55.00000000000002,21.095023109728988,35.0,0.0,2,0
31,0905-5-lyy,12.0,word,1693897922.4171472,822.0,40.00000000000003,74.52516353554684,35.0,0.0,0,0
32,0905-5-lyy,12.0,word,1693897922.449384,936.0,22.00000000000005,115.41230437002808,35.0,0.0,1,0
46,0905-5-lyy,12.0,word,1693897922.8808937,976.0000000000002,32.000000000000014,80.049984384758,35.0,0.0,1,0
47,0905-5-lyy,12.0,word,1693897922.912885,1043.0,52.99999999999999,70.21395872616783,35.0,0.0,8,0
48,0905-5-lyy,12.0,word,1693897922.9452424,1091.0000000000002,71.99999999999999,51.62363799656123,35.0,0.0,2,0
49,0905-5-lyy,12.0,word,1693897922.9775538,1120.0,88.99999999999999,33.61547262794322,35.0,0.0,11,0
50,0905-5-lyy,12.0,word,1693897922.993554,1137.0,102.0,21.40093455903269,35.0,0.0,14,0
51,0905-5-lyy,12.0,word,1693897923.025674,1149.0000000000002,113.0,16.278820596099706,35.0,0.0,22,0
52,0905-5-lyy,12.0,word,1693897923.0577457,1135.0000000000002,121.99999999999994,16.64331697709324,35.0,0.0,22,0
53,0905-5-lyy,12.0,word,1693897923.0888686,1122.0000000000002,127.99999999999996,14.317821063276352,35.0,0.0,25,0
54,0905-5-lyy,12.0,word,1693897923.1212664,1111.0000000000002,133.00000000000003,12.083045973594572,35.0,0.0,17,0
55,0905-5-lyy,12.0,word,1693897923.1534548,1101.0000000000002,138.99999999999997,11.6619037896906,35.0,0.0,20,0
56,0905-5-lyy,12.0,word,1693897923.185604,1097.0000000000002,143.00000000000003,5.656854249492381,35.0,0.0,20,0
57,0905-5-lyy,12.0,word,1693897923.216911,1098.0,148.0,5.0990195135927845,35.0,0.0,20,3
58,0905-5-lyy,12.0,word,1693897923.2494574,1150.0000000000002,151.99999999999997,52.15361924162119,35.0,0.0,31,3
59,0905-5-lyy,12.0,word,1693897923.2655067,1241.0000000000005,156.0,91.08786966440702,35.0,0.0,13,3
60,0905-5-lyy,12.0,word,1693897923.2968397,1320.000000000001,157.00000000000003,79.00632886041473,35.0,0.0,8,3
61,0905-5-lyy,12.0,word,1693897923.3290756,1375.0000000000005,156.00000000000003,55.00909015790027,35.0,0.0,13,3
62,0905-5-lyy,12.0,word,1693897923.3609984,1412.0000000000002,154.0,37.05401462729781,35.0,0.0,13,3
63,0905-5-lyy,12.0,word,1693897923.3929958,1380.0,152.0,32.0624390837628,35.0,0.0,10,3
64,0905-5-lyy,12.0,word,1693897923.4250536,1327.0000000000002,151.0,53.009433122794285,35.0,0.0,5,3
65,0905-5-lyy,12.0,word,1693897923.4575202,1093.0000000000002,171.99999999999997,234.94041797868667,35.0,0.0,12,3
66,0905-5-lyy,12.0,word,1693897923.4887726,828.0,200.0,266.47513955339247,35.0,0.0,14,3
67,0905-5-lyy,12.0,word,1693897923.520906,670.0000000000001,211.00000000000009,158.38244852255568,35.0,0.0,52,5
68,0905-5-lyy,12.0,word,1693897923.5371623,591.0,220.0,79.51100552753688,35.0,0.0,57,5
69,0905-5-lyy,12.0,word,1693897923.5691388,556.0000000000001,222.00000000000009,35.05709628591621,35.0,0.0,39,5
70,0905-5-lyy,12.0,word,1693897923.6012533,538.9999999999999,218.99999999999991,17.26267650163207,35.0,0.0,32,5
71,0905-5-lyy,12.0,word,1693897923.6331377,514.9999999999999,216.0,24.186773244895647,35.0,0.0,18,5
72,0905-5-lyy,12.0,word,1693897923.6647778,494.0000000000001,213.0,21.213203435596427,35.0,0.0,21,5
73,0905-5-lyy,12.0,word,1693897923.6967545,482.0,209.0,12.649110640673518,35.0,0.0,16,5
74,0905-5-lyy,12.0,word,1693897923.729189,473.9999999999999,204.0,9.433981132056603,35.0,0.0,11,5
75,0905-5-lyy,12.0,word,1693897923.7614045,466.9999999999999,201.0,7.615773105863909,35.0,0.0,10,3
76,0905-5-lyy,12.0,word,1693897923.7936645,463.0,199.0,4.47213595499958,35.0,0.0,10,3
