para_id,x,y,row,col,word,text_density,relative_text_density
0,380.0,272.0,0,0,  ,0,0.0
0,420.0,272.0,0,1,  ,1,5.313496280552604e-05
0,460.0,272.0,0,2,8,0,0.0
0,500.0,272.0,0,3,月,13,0.0006907545164718385
0,540.0,272.0,0,4,22,2,0.00010626992561105207
0,580.0,272.0,0,5,日,1,5.313496280552604e-05
0,620.0,272.0,0,6,，,4,0.00021253985122210415
0,660.0,272.0,0,7,据,7,0.00037194473963868225
0,700.0,272.0,0,8,央,3,0.0001594048884165781
0,740.0,272.0,0,9,视,7,0.00037194473963868225
0,780.0,272.0,0,10,新,1,5.313496280552604e-05
0,820.0,272.0,0,11,闻,1,5.313496280552604e-05
0,860.0,272.0,0,12,报,0,0.0
0,900.0,272.0,0,13,道,1,5.313496280552604e-05
0,940.0,272.0,0,14,，,2,0.00010626992561105207
0,980.0,272.0,0,15,总,1,5.313496280552604e-05
0,1020.0,272.0,0,16,台,2,0.00010626992561105207
0,1060.0,272.0,0,17,记,3,0.0001594048884165781
0,1100.0,272.0,0,18,者,15,0.0007970244420828905
0,1140.0,272.0,0,19,目,7,0.00037194473963868225
0,1180.0,272.0,0,20,击,7,0.00037194473963868225
0,1220.0,272.0,0,21,，,7,0.00037194473963868225
0,1260.0,272.0,0,22,天,21,0.0011158342189160468
0,1300.0,272.0,0,23,津,7,0.00037194473963868225
0,1340.0,272.0,0,24,市,6,0.0003188097768331562
0,1380.0,272.0,0,25,位,5,0.00026567481402763017
0,1420.0,272.0,0,26,于,5,0.00026567481402763017
0,1460.0,272.0,0,27,南,6,0.0003188097768331562
0,1500.0,272.0,0,28,开,0,0.0
0,1540.0,272.0,0,29,区,0,0.0
0,380.0,336.0,1,0,南,0,0.0
0,420.0,336.0,1,1,京,10,0.0005313496280552603
0,460.0,336.0,1,2,路,4,0.00021253985122210415
0,500.0,336.0,1,3,与,4,0.00021253985122210415
0,540.0,336.0,1,4,万,4,0.00021253985122210415
0,580.0,336.0,1,5,德,2,0.00010626992561105207
0,620.0,336.0,1,6,庄,6,0.0003188097768331562
0,660.0,336.0,1,7,南,1,5.313496280552604e-05
0,700.0,336.0,1,8,北,4,0.00021253985122210415
0,740.0,336.0,1,9,街,6,0.0003188097768331562
0,780.0,336.0,1,10,交,3,0.0001594048884165781
0,820.0,336.0,1,11,口,1,5.313496280552604e-05
0,860.0,336.0,1,12,处,4,0.00021253985122210415
0,900.0,336.0,1,13,的,4,0.00021253985122210415
0,940.0,336.0,1,14,一,2,0.00010626992561105207
0,980.0,336.0,1,15,栋,4,0.00021253985122210415
0,1020.0,336.0,1,16,大,6,0.0003188097768331562
0,1060.0,336.0,1,17,厦,5,0.00026567481402763017
0,1100.0,336.0,1,18,发,7,0.00037194473963868225
0,1140.0,336.0,1,19,生,3,0.0001594048884165781
0,1180.0,336.0,1,20,火,2,0.00010626992561105207
0,1220.0,336.0,1,21,情,2,0.00010626992561105207
0,1260.0,336.0,1,22,，,3,0.0001594048884165781
0,1300.0,336.0,1,23,目,2,0.00010626992561105207
0,1340.0,336.0,1,24,前,9,0.00047821466524973434
0,1380.0,336.0,1,25,从,5,0.00026567481402763017
0,1420.0,336.0,1,26,大,0,0.0
0,1460.0,336.0,1,27,楼,0,0.0
0,1500.0,336.0,1,28,的,0,0.0
0,1540.0,336.0,1,29,一,0,0.0
0,380.0,400.0,2,0,侧,0,0.0
0,420.0,400.0,2,1,外,0,0.0
0,460.0,400.0,2,2,立,0,0.0
0,500.0,400.0,2,3,面,0,0.0
0,540.0,400.0,2,4,到,5,0.00026567481402763017
0,580.0,400.0,2,5,顶,4,0.00021253985122210415
0,620.0,400.0,2,6,楼,4,0.00021253985122210415
0,660.0,400.0,2,7,均,1,5.313496280552604e-05
0,700.0,400.0,2,8,可,1,5.313496280552604e-05
0,740.0,400.0,2,9,见,0,0.0
0,780.0,400.0,2,10,明,1,5.313496280552604e-05
0,820.0,400.0,2,11,火,2,0.00010626992561105207
0,860.0,400.0,2,12,，,2,0.00010626992561105207
0,900.0,400.0,2,13,消,1,5.313496280552604e-05
0,940.0,400.0,2,14,防,0,0.0
0,980.0,400.0,2,15,部,1,5.313496280552604e-05
0,1020.0,400.0,2,16,门,1,5.313496280552604e-05
0,1060.0,400.0,2,17,正,5,0.00026567481402763017
0,1100.0,400.0,2,18,在,8,0.0004250797024442083
0,1140.0,400.0,2,19,全,2,0.00010626992561105207
0,1180.0,400.0,2,20,力,2,0.00010626992561105207
0,1220.0,400.0,2,21,进,8,0.0004250797024442083
0,1260.0,400.0,2,22,行,1,5.313496280552604e-05
0,1300.0,400.0,2,23,灭,0,0.0
0,1340.0,400.0,2,24,火,0,0.0
0,1380.0,400.0,2,25,工,0,0.0
0,1420.0,400.0,2,26,作,0,0.0
0,1460.0,400.0,2,27,。,0,0.0
